transaction_id,customer_id,transaction_date,product_category,revenue_amount,gross_margin,is_upsell,repeat_index,first_touch_campaign_id,acquisition_channel,acquisition_date,country,nps_score,churn_date,lead_id,mql_date,sql_date,opportunity_date,close_date,deal_status,cohort_month
TX00010367,CUST007250,2025-10-02,Core,122.56,85.79,False,1,CMP0005,Paid Search,2025-09-30,CA,6.0,,LEADEB466FC8AC,2025-09-28,2025-09-27,2025-10-02,2025-10-02,Won,2025-09
TX00018227,CUST012797,2024-05-07,Premium,103.97,67.58,False,1,CMP0060,Direct,2024-05-03,BR,4.0,,LEADA4D6774A4B,2024-05-03,2024-05-01,2024-05-07,2024-05-07,Won,2024-05
TX00017574,CUST012336,2024-09-25,Core,156.08,109.26,False,1,CMP0007,Paid Search,2024-09-23,DE,,2025-02-23,LEAD417F300A4E,2024-09-23,2024-09-22,2024-09-24,2024-09-25,Won,2024-09
TX00011013,CUST007719,2024-11-19,Core,428.68,300.08,False,1,CMP0025,Organic Search,2024-11-16,IT,4.0,,LEAD1F507CD0E3,2024-11-11,2024-11-18,2024-11-21,2024-11-19,Won,2024-11
TX00004438,CUST003096,2025-06-22,Core,333.63,233.54,False,1,CMP0036,Referral,2025-06-18,FR,4.0,,LEAD3C80E21038,2025-06-11,2025-06-18,2025-06-25,2025-06-22,Won,2025-06
TX00019382,CUST013605,2024-12-18,Core,1195.32,836.72,False,1,CMP0059,Direct,2024-12-17,BR,5.0,,LEAD349E7462AE,2024-12-16,2024-12-16,2024-12-23,2024-12-18,Won,2024-12
TX00001044,CUST000739,2025-07-27,Add-on,227.16,186.27,True,2,CMP0060,Direct,2025-04-17,US,7.0,,LEAD4C3646559C,2025-04-14,2025-04-14,2025-04-24,2025-07-27,Won,2025-04
TX00010321,CUST007220,2024-01-15,Core,262.57,183.8,False,1,CMP0006,Paid Search,2024-01-15,BR,9.0,2024-03-15,LEADC293B85E9C,2024-01-14,2024-01-14,2024-01-19,2024-01-15,Won,2024-01
TX00010190,CUST007129,2024-04-26,Core,852.91,597.04,False,1,CMP0004,Paid Search,2024-04-25,GB,,,LEAD876D9A03E5,2024-04-18,2024-04-26,2024-05-01,2024-04-26,Won,2024-04
TX00012324,CUST008641,2024-11-26,Premium,62.02,40.31,False,1,CMP0028,Organic Search,2024-11-22,US,2.0,2025-11-22,LEAD42AB867DAA,2024-11-16,2024-11-21,2024-11-26,2024-11-26,Won,2024-11
TX00020785,CUST014570,2024-06-27,Core,322.75,225.92,False,1,CMP0008,Paid Search,2024-06-24,PL,6.0,2024-08-24,LEADC2D8A88251,2024-06-19,2024-06-24,2024-06-27,2024-06-27,Won,2024-06
TX00011759,CUST008240,2024-04-13,Add-on,152.82,125.31,True,2,CMP0035,Referal,2024-02-24,IT,,,LEAD0E5DAADE45,2024-02-21,2024-02-25,2024-02-26,2024-04-13,Won,2024-02
TX00006589,CUST004592,2025-08-04,Core,586.21,410.35,False,1,CMP0005,Paid Search,2025-07-31,GB,6.0,,LEAD9E05C67F94,2025-07-24,2025-08-02,2025-08-07,2025-08-04,Won,2025-07
TX00019042,CUST013380,2025-02-28,Premium,216.01,140.41,False,1,CMP0028,Organic Search,2025-02-24,CA,7.0,,LEADC997251F51,2025-02-19,2025-02-21,2025-02-28,2025-02-28,Won,2025-02
TX00018065,CUST012679,2025-04-07,Add-on,215.41,172.33,False,1,CMP0037,Referral,2025-04-03,FR,4.0,2025-11-03,LEAD7E58D3B3C0,2025-04-02,2025-04-03,2025-04-05,2025-04-07,Won,2025-04
TX00014244,CUST009989,2024-07-18,Core,151.35,108.97,True,2,CMP0037,Referral,2024-05-11,IN,,,LEAD7E41363AAC,2024-05-04,2024-05-08,2024-05-15,2024-07-18,Won,2024-05
TX00021549,CUST015103,2024-06-12,Add-on,814.07,651.26,False,1,CMP0035,Referral,2024-06-07,CA,3.0,2025-01-07,LEAD00B694CB84,2024-06-03,2024-06-05,2024-06-11,2024-06-12,Won,2024-06
TX00017484,CUST012274,2024-11-13,Premium,155.68,101.19,False,1,CMP0059,Direct,2024-11-12,IN,10.0,2025-09-12,LEAD5AE08CDB75,2024-11-12,2024-11-12,2024-11-19,2024-11-13,Won,2024-11
TX00007845,CUST005505,2025-01-18,Add-on,78.71,64.54,True,2,CMP0059,Direct,2024-10-12,NL,9.0,2025-07-12,LEADDA3FCA3ED9,2024-10-06,2024-10-14,2024-10-17,2025-01-18,Won,2024-10
TX00007330,CUST005115,2024-07-01,Core,436.08,305.26,False,1,CMP0032,Email,2024-06-27,SE,5.0,2024-07-27,LEAD136799B024,2024-06-20,2024-06-29,2024-06-29,2024-07-01,Won,2024-06
TX00018230,CUST012798,2024-05-05,Add-on,137.72,110.18,False,1,CMP0060,Direct,2024-05-04,ES,0.0,2024-11-04,LEAD36829EE573,2024-04-27,2024-05-01,2024-05-11,2024-05-05,Won,2024-05
TX00009244,CUST006484,2024-06-01,Premium,35.19,22.87,False,1,CMP0001,Paid Search,2024-05-27,PL,,,LEAD356DC59D30,2024-05-24,2024-05-29,2024-05-27,2024-06-01,Open,2024-05
TX00004246,CUST002968,2024-08-27,Premium,575.79,374.26,False,1,CMP0033,Email,2024-08-22,NL,1.0,,LEADEB3DBAB67F,2024-08-20,2024-08-20,2024-08-23,2024-08-27,Won,2024-08
TX00011071,CUST007762,2025-08-09,Core,953.93,667.75,False,1,CMP0059,Direct,2025-08-05,ES,1.0,,LEAD9DCD599E90,2025-08-05,2025-08-02,2025-08-11,2025-08-09,Won,2025-08
TX00021983,CUST015395,2025-06-26,Core,562.98,394.09,False,1,CMP0057,Direct,2025-06-26,US,4.0,,LEADE57F33DEEB,2025-06-23,2025-06-28,2025-07-02,2025-06-26,Won,2025-06
TX00011719,CUST008210,2025-03-17,Premium,1445.17,939.36,False,1,CMP0006,Paid Search,2025-03-15,IT,,,LEAD71044F5412,2025-03-08,2025-03-15,2025-03-18,2025-03-17,Won,2025-03
TX00001371,CUST000965,2025-01-09,Premium,739.8,480.87,False,1,CMP0039,Affiliate,2025-01-06,ES,1.0,,LEADECD6383A92,2025-01-02,2025-01-06,2025-01-12,2025-01-09,Won,2025-01
TX00016836,CUST011794,2024-05-28,Core,157.5,110.25,False,1,CMP0006,Paid Search,2024-05-28,BR,7.0,2024-08-28,LEAD7357D3E6D4,2024-05-22,2024-05-29,2024-05-28,2024-05-28,Won,2024-05
TX00012226,CUST008573,2024-06-14,Add-on,252.07,206.7,True,2,CMP0028,Organic Search,2024-03-18,US,,,LEAD44753F66DD,2024-03-11,2024-03-16,2024-03-24,2024-06-14,Won,2024-03
TX00004048,CUST002828,2025-08-07,Core,357.2,250.04,False,1,CMP0026,Organic Search,2025-08-07,IN,8.0,,LEAD0BCD487DC6,2025-07-31,2025-08-04,2025-08-07,2025-08-07,Won,2025-08
TX00009338,CUST006553,2024-08-05,Core,879.51,633.25,True,2,CMP0032,Email,2024-05-27,NL,,,LEADF23AFE081B,2024-05-25,2024-05-27,2024-05-30,2024-08-05,Won,2024-05
